,initial network,learning method,log_likelihood,accuracy
0,G_0,hc_ucv,2098.2167701243093,0.31313131313131315
0,G_1,hc_ucv,,0.31313131313131315
0,G_0,hc_nr,2118.3756418012204,0.31313131313131315
0,G_1,hc_nr,,0.31313131313131315
0,G_0,hc_ucv,2026.6463678861187,0.30976430976430974
0,G_1,hc_ucv,,0.30976430976430974
0,G_0,hc_nr,2037.696447012153,0.30976430976430974
0,G_1,hc_nr,,0.30976430976430974
0,G_0,hc_ucv,1744.8205912676142,0.30976430976430974
0,G_1,hc_ucv,,0.30976430976430974
0,G_0,hc_nr,1708.7428459728028,0.30976430976430974
0,G_1,hc_nr,,0.30976430976430974
0,G_0,hc_ucv,1590.558926327219,0.31313131313131315
0,G_1,hc_ucv,,0.31313131313131315
0,G_0,hc_nr,1107.8594882797797,0.31313131313131315
0,G_1,hc_nr,,0.31313131313131315
0,G_0,hc_ucv,-2.0492763193107545e+27,0.3141891891891892
0,G_1,hc_ucv,,0.3141891891891892
0,G_0,hc_nr,1718.6517987928357,0.3141891891891892
0,G_1,hc_nr,,0.3141891891891892
